Šifra NKS;Puno ime NKS;Naziv NKS
G.2.5.2.1.;G.2.5.2.1. Facijesi mediolitorala betoniranih i izgrađenih obala (luke, lučice, brodogradilišta) i ostalih ljudskih konstrukcija u moru (npr. plinske platforme);Facijesi mediolitorala betoniranih i izgrađenih obala (luke, lučice, brodogradilišta) i ostalih ljudskih konstrukcija u moru (npr. plinske platforme)
G.3.;G.3. Infralitoral;Infralitoral
G.3.1.;G.3.1. Infralitoralni pjeskoviti muljevi, pijesci, šljunci i stijene u eurihalinom i euritermnom okolišu;Infralitoralni pjeskoviti muljevi, pijesci, šljunci i stijene u eurihalinom i euritermnom okolišu
G.3.1.1.;G.3.1.1. Eurihalina i euritermna biocenoza;Eurihalina i euritermna biocenoza
G.3.1.1.1.;G.3.1.1.1. Asocijacija s vrstom Ruppia maritima ;Asocijacija s vrstom Ruppia maritima 
G.3.1.1.2.;G.3.1.1.2. Facijes s vrstom Ficopomatus enigmaticus ;Facijes s vrstom Ficopomatus enigmaticus 
G.3.1.1.3.;G.3.1.1.3. Asocijacija s vrstom Potamogeton pectinatus;Asocijacija s vrstom Potamogeton pectinatus
G.3.1.1.4.;G.3.1.1.4. Asocijacija s vrstom Zostera noltii u eurihalinom i euritermnom okolišu;Asocijacija s vrstom Zostera noltii u eurihalinom i euritermnom okolišu
G.3.1.1.5.;G.3.1.1.5. Asocijacija s vrstom Zostera marina u eurihalinom i euritermnom okolišu;Asocijacija s vrstom Zostera marina u eurihalinom i euritermnom okolišu
G.3.1.1.6.;G.3.1.1.6. Asocijacija s vrstama roda Gracilaria ;Asocijacija s vrstama roda Gracilaria 
G.3.1.1.7.;G.3.1.1.7. Asocijacija s vrstama rodova Chaetomorpha i Valonia ;Asocijacija s vrstama rodova Chaetomorpha i Valonia 
G.3.1.1.8.;G.3.1.1.8. Asocijacija s vrstama rodova Ulva i Enteromorpha ;Asocijacija s vrstama rodova Ulva i Enteromorpha 
G.3.1.1.9.;G.3.1.1.9. Asocijacija s vrstom Cystoseira barbata ;Asocijacija s vrstom Cystoseira barbata 
G.3.1.1.10.;G.3.1.1.10. Asocijacija s vrstama roda Cladophora i vrstom Rytiphloea tinctoria ;Asocijacija s vrstama roda Cladophora i vrstom Rytiphloea tinctoria 
G.3.1.1.11.;G.3.1.1.11. Facijes sitastih vrulja uz obalu;Facijes sitastih vrulja uz obalu
G.3.2.;G.3.2. Infralitoralni sitni pijesci s više ili manje mulja;Infralitoralni sitni pijesci s više ili manje mulja
G.3.2.1.;G.3.2.1. Biocenoza sitnih površinskih pijesaka;Biocenoza sitnih površinskih pijesaka
G.3.2.1.1.;G.3.2.1.1. Facijes s vrstom Lentidium mediterraneum ;Facijes s vrstom Lentidium mediterraneum 
G.3.2.2.;G.3.2.2. Biocenoza sitnih ujednačenih pijesaka;Biocenoza sitnih ujednačenih pijesaka
G.3.2.2.1.;G.3.2.2.1. Asocijacija s vrstom Cymodocea nodosa ;Asocijacija s vrstom Cymodocea nodosa 
G.3.2.3.;G.3.2.3. Biocenoza zamuljenih pijesaka zaštićenih obala;Biocenoza zamuljenih pijesaka zaštićenih obala
G.3.2.3.1.;G.3.2.3.1. Facijes s vrstama Callianassa tyrrhena i Kellia spp.;Facijes s vrstama Callianassa tyrrhena i Kellia spp.
G.3.2.3.2.;G.3.2.3.2. Facijes pod utjecajem slatke vode s vrstama Cerastoderma glaucum i Cyathura carinata;Facijes pod utjecajem slatke vode s vrstama Cerastoderma glaucum i Cyathura carinata
G.3.2.3.3.;G.3.2.3.3. Facijes s vrstama Loripes lacteus, Tapes spp.;Facijes s vrstama Loripes lacteus, Tapes spp.
G.3.2.3.4.;G.3.2.3.4. Asocijacija s vrstom Cymodocea nodosa;Asocijacija s vrstom Cymodocea nodosa
G.3.2.3.5.;G.3.2.3.5. Asocijacija s vrstom Zostera noltii;Asocijacija s vrstom Zostera noltii
G.3.2.3.6.;G.3.2.3.6. Asocijacija s vrstom Caulerpa prolifera;Asocijacija s vrstom Caulerpa prolifera
G.3.3.;G.3.3. Infralitoralni krupni pijesci s više ili manje mulja;Infralitoralni krupni pijesci s više ili manje mulja
G.3.3.1.;G.3.3.1. Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem valova;Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem valova
G.3.3.1.1.;G.3.3.1.1. Asocijacija s rodolitima;Asocijacija s rodolitima
G.3.3.2.;G.3.3.2. Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem pridnenih struja (pojavljuje se i u cirkalitoralu);Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem pridnenih struja (pojavljuje se i u cirkalitoralu)
G.3.3.2.1.;G.3.3.2.1. Facijes maërla (pojavljuje se i kao facijes u biocenozi obalnih detritusnih dna);Facijes maërla (pojavljuje se i kao facijes u biocenozi obalnih detritusnih dna)
G.3.3.2.2.;G.3.3.2.2. Asocijacija s rodolitima;Asocijacija s rodolitima
G.3.4.;G.3.4. Infralitoralno kamenje i šljunci;Infralitoralno kamenje i šljunci
G.3.4.1.;G.3.4.1. Biocenoza infralitoralnih šljunaka;Biocenoza infralitoralnih šljunaka
G.3.4.1.1.;G.3.4.1.1. Facijes s vrstom Gouania wildenowi ;Facijes s vrstom Gouania wildenowi 
G.3.5.;G.3.5. Naselja posidonije;Naselja posidonije
G.3.5.1.;G.3.5.1. Biocenoza naselja vrste Posidonia oceanica (=Asocijacija s vrstom Posidonia oceanica);Biocenoza naselja vrste Posidonia oceanica (=Asocijacija s vrstom Posidonia oceanica)
G.3.5.1.1.;G.3.5.1.1. Ekomorfoza naselja u «prugama»;Ekomorfoza naselja u «prugama»
G.3.5.1.2.;G.3.5.1.2. Ekomorfoza naselja koja tvore «barijeru»;Ekomorfoza naselja koja tvore «barijeru»
G.3.5.1.3.;G.3.5.1.3. Facijes mrtvih naslaga rizoma posidonije bez epiflore;Facijes mrtvih naslaga rizoma posidonije bez epiflore
G.3.5.1.4.;G.3.5.1.4. Asocijacija s vrstom Caulerpa prolifera ;Asocijacija s vrstom Caulerpa prolifera 
G.3.6.;G.3.6. Infralitoralna čvrsta dna i stijene;Infralitoralna čvrsta dna i stijene
G.3.6.1.;G.3.6.1. Biocenoza infralitoralnih algi;Biocenoza infralitoralnih algi
G.3.6.1.1.;G.3.6.1.1. Degradirani facijes s inkrustirajućim algama i ježincima;Degradirani facijes s inkrustirajućim algama i ježincima
G.3.6.1.2.;G.3.6.1.2. Asocijacija s vrstom Cystoseira amentacea (var. amentacea, var. stricta, var. spicata);Asocijacija s vrstom Cystoseira amentacea (var. amentacea, var. stricta, var. spicata)
G.3.6.1.3.;G.3.6.1.3. Facijes s vermetidima;Facijes s vermetidima
G.3.6.1.4.;G.3.6.1.4. Facijes s vrstom Mytilus galloprovincialis ;Facijes s vrstom Mytilus galloprovincialis 
G.3.6.1.5.;G.3.6.1.5. Asocijacija s vrstom Corallina elongata ;Asocijacija s vrstom Corallina elongata 
G.3.6.1.6.;G.3.6.1.6. Asocijacija s vrstama Codium vermilara i Rhodymenia ardissonei ;Asocijacija s vrstama Codium vermilara i Rhodymenia ardissonei 
G.3.6.1.7.;G.3.6.1.7. Asocijacija s vrstom Dasycladus vermicularis ;Asocijacija s vrstom Dasycladus vermicularis 
G.3.6.1.8.;G.3.6.1.8. Asocijacija s vrstom Ceramium rubrum ;Asocijacija s vrstom Ceramium rubrum 
G.3.6.1.9.;G.3.6.1.9. Facijes s vrstom Cladocora caespitose ;Facijes s vrstom Cladocora caespitose 
G.3.6.1.10.;G.3.6.1.10. Asocijacija s vrstom Cystoseira crinita ;Asocijacija s vrstom Cystoseira crinita 
G.3.6.1.11.;G.3.6.1.11. Asocijacija s vrstom Sargassum vulgare ;Asocijacija s vrstom Sargassum vulgare 
G.3.6.1.12.;G.3.6.1.12. Asocijacija s vrstom Dictyopteris polypodioides ;Asocijacija s vrstom Dictyopteris polypodioides 
G.3.6.1.13.;G.3.6.1.13. Asocijacija s vrstom Colpomenia sinuosa ;Asocijacija s vrstom Colpomenia sinuosa 
G.3.6.1.14.;G.3.6.1.14. Asocijacija s vrstom Stypocaulon scoparium (=Halopteris scoparia);Asocijacija s vrstom Stypocaulon scoparium (=Halopteris scoparia)
G.3.6.1.15.;G.3.6.1.15. Asocijacija s vrstom Cystoseira compressa ;Asocijacija s vrstom Cystoseira compressa 
G.3.6.1.16.;G.3.6.1.16. Asocijacija s vrstama Pterocladiella capillacea i Ulva laetevirens ;Asocijacija s vrstama Pterocladiella capillacea i Ulva laetevirens 
G.3.6.1.17.;G.3.6.1.17. Facijes s velikim obrubnjacima;Facijes s velikim obrubnjacima
G.3.6.1.18.;G.3.6.1.18. Asocijacija s vrstama Flabellia petiolata i Peyssonnelia squamaria;Asocijacija s vrstama Flabellia petiolata i Peyssonnelia squamaria
G.3.6.1.19.;G.3.6.1.19. Asocijacija s vrstama Peyssonnelia rubra i Peyssonnelia spp.;Asocijacija s vrstama Peyssonnelia rubra i Peyssonnelia spp.
G.3.6.1.20.;G.3.6.1.20. Facijesi i asocijacije koraligenske biocenoze (kao enklave);Facijesi i asocijacije koraligenske biocenoze (kao enklave)
G.3.6.1.21.;G.3.6.1.21. Facijes s vrstom Chondrilla nucula ;Facijes s vrstom Chondrilla nucula 
G.3.7.;G.3.7. Infralitoral kraških morskih jezera;Infralitoral kraških morskih jezera
G.3.7.1.;G.3.7.1. Zajednice infralitorala kraških morskih jezera;Zajednice infralitorala kraških morskih jezera
G.3.7.1.1.;G.3.7.1.1. Zajednica infralitorala kraških morskih jezera;Zajednica infralitorala kraških morskih jezera
G.3.8.;G.3.8. Antropogena staništa u infralitoralu;Antropogena staništa u infralitoralu
G.3.8.1.;G.3.8.1. Antropogene infralitoralne zajednice na pomičnoj podlozi (mulju, pijesku, šljunku);Antropogene infralitoralne zajednice na pomičnoj podlozi (mulju, pijesku, šljunku)
G.3.8.1.1.;G.3.8.1.1. Infralitoralne zajednice dna turističkih plaža i ljekovitih blata;Infralitoralne zajednice dna turističkih plaža i ljekovitih blata
G.3.8.2.;G.3.8.2. Antropogene infralitoralne zajednice na čvrstoj podlozi;Antropogene infralitoralne zajednice na čvrstoj podlozi
G.3.8.2.1.;G.3.8.2.1. Zajednice infralitorala betoniranih i izgrađenih obala (luke, lučice, brodogradilišta) i ostalih ljudskih konstrukcija u moru (npr. plinske platforme) ;Zajednice infralitorala betoniranih i izgrađenih obala (luke, lučice, brodogradilišta) i ostalih ljudskih konstrukcija u moru (npr. plinske platforme) 
G.3.8.2.2.;G.3.8.2.2. Obraštajne zajednice na koritima brodova i brodica;Obraštajne zajednice na koritima brodova i brodica
G.3.8.2.3.;G.3.8.2.3. Degradirana biocenoza infralitoralnih algi;Degradirana biocenoza infralitoralnih algi
G.3.8.3.;G.3.8.3. Podmorska arheološka nalazišta;Podmorska arheološka nalazišta
G.3.8.3.1.;G.3.8.3.1. Podmorska arheološka nalazišta;Podmorska arheološka nalazišta
G.3.8.4.;G.3.8.4. Infralitoralne zajednice ispod marikulturnih zahvata;Infralitoralne zajednice ispod marikulturnih zahvata
G.3.8.4.1.;G.3.8.4.1. Uzgajališta riba;Uzgajališta riba
G.3.8.4.2.;G.3.8.4.2. Uzgajališta školjkaša;Uzgajališta školjkaša
G.3.8.4.3.;G.3.8.4.3. Obraštajne zajednice na instalacijama marikulture;Obraštajne zajednice na instalacijama marikulture
G.3.8.5.;G.3.8.5. Infralitoralne zajednice oko podmorskih ispusta otpadne vode;Infralitoralne zajednice oko podmorskih ispusta otpadne vode
G.3.8.5.1.;G.3.8.5.1. Infralitoralne zajednice oko podmorskih ispusta otpadne vode;Infralitoralne zajednice oko podmorskih ispusta otpadne vode
G.3.8.6.;G.3.8.6. Infralitoralne zajednice s invazivnim vrstama;Infralitoralne zajednice s invazivnim vrstama
G.3.8.6.1.;G.3.8.6.1. Zajednica s vrstom Caulerpa taxifolia;Zajednica s vrstom Caulerpa taxifolia
G.3.8.6.2.;G.3.8.6.2. Zajednica s vrstom Caulerpa racemosa;Zajednica s vrstom Caulerpa racemosa
G.4.;G.4. Cirkalitoral;Cirkalitoral
G.4.1.;G.4.1. Cirkalitoralni muljevi;Cirkalitoralni muljevi
G.4.1.1.;G.4.1.1. Biocenoza obalnih terigenih muljeva;Biocenoza obalnih terigenih muljeva
G.4.1.1.1.;G.4.1.1.1. Facijes mekanih muljeva s vrstom Turritella tricarinata communis;Facijes mekanih muljeva s vrstom Turritella tricarinata communis
G.4.1.1.2.;G.4.1.1.2. Facijes ljepljivih muljeva s vrstama Virgularia mirabilis i Pennatula phosphorea ;Facijes ljepljivih muljeva s vrstama Virgularia mirabilis i Pennatula phosphorea 
G.4.1.1.3.;G.4.1.1.3. Facijes ljepljivih muljeva s vrstama Alcyonium palmatum i Stichopus regalis ;Facijes ljepljivih muljeva s vrstama Alcyonium palmatum i Stichopus regalis 
G.4.1.2.;G.4.1.2. Biocenoza muljevitih dna otvorenog Jadrana i kanala sjevernog Jadrana;Biocenoza muljevitih dna otvorenog Jadrana i kanala sjevernog Jadrana
G.4.2.;G.4.2. Cirkalitoralni pijesci;Cirkalitoralni pijesci
G.4.2.1.;G.4.2.1. Biocenoza muljevitih detritusnih dna;Biocenoza muljevitih detritusnih dna
G.4.2.1.1.;G.4.2.1.1. Facijes s vrstom Ophiothrix quinquemaculata;Facijes s vrstom Ophiothrix quinquemaculata
G.4.2.1.2.;G.4.2.1.2. Facijes s vrstom Schizaster chiajei ;Facijes s vrstom Schizaster chiajei 
G.4.2.2.;G.4.2.2. Biocenoza obalnih detritusnih dna;Biocenoza obalnih detritusnih dna
G.4.2.2.1.;G.4.2.2.1. Asocijacija s rodolitima;Asocijacija s rodolitima
G.4.2.2.2.;G.4.2.2.2. Facijes maërla;Facijes maërla
G.4.2.2.3.;G.4.2.2.3. Asocijacija s vrstom Peyssonnelia rosa-marina ;Asocijacija s vrstom Peyssonnelia rosa-marina 
G.4.2.2.4.;G.4.2.2.4. Asocijacija s vrstom Laminaria rodriguezii;Asocijacija s vrstom Laminaria rodriguezii
G.4.2.2.5.;G.4.2.2.5. Facijes s vrstom Ophiura texturata ;Facijes s vrstom Ophiura texturata 
G.4.2.2.6.;G.4.2.2.6. Facijes sa sinascidijama;Facijes sa sinascidijama
G.4.2.2.7.;G.4.2.2.7. Facijes s velikim mahovnjacima;Facijes s velikim mahovnjacima
G.4.2.3.;G.4.2.3. Biocenoza detritusnog dna na rubu kontinentske podine;Biocenoza detritusnog dna na rubu kontinentske podine
G.4.2.3.1.;G.4.2.3.1. Facijes s vrstom Neolampas rostellata ;Facijes s vrstom Neolampas rostellata 
G.4.2.3.2.;G.4.2.3.2. Facijes s vrstom Leptometra phalangium ;Facijes s vrstom Leptometra phalangium 
G.4.2.4.;G.4.2.4. Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem pridnenih struja (pojavljuje se i u infralitoralu);Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem pridnenih struja (pojavljuje se i u infralitoralu)
G.4.2.4.1.;G.4.2.4.1. Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem pridnenih struja (pojavljuje se i u infralitoralu);Biocenoza krupnih pijesaka i sitnih šljunaka pod utjecajem pridnenih struja (pojavljuje se i u infralitoralu)
G.4.2.5.;G.4.2.5. Biocenoza detritusnih dna otvorenog Jadrana;Biocenoza detritusnih dna otvorenog Jadrana
G.4.2.5.1.;G.4.2.5.1. Facijes s vrstom Atrina pectinata ;Facijes s vrstom Atrina pectinata 
G.4.2.5.2.;G.4.2.5.2. Facijes s vrstom Lytocarpia myriophyllum ;Facijes s vrstom Lytocarpia myriophyllum 
G.4.3.;G.4.3. Cirkalitoralna čvrsta dna i stijene;Cirkalitoralna čvrsta dna i stijene
G.4.3.1.;G.4.3.1. Koraligenska biocenoza;Koraligenska biocenoza
G.4.3.1.1.;G.4.3.1.1. Asocijacija s vrstom Cystoseira corniculata ;Asocijacija s vrstom Cystoseira corniculata 
G.4.3.1.2.;G.4.3.1.2. Asocijacija s autohtonim vrstama roda Sargassum ;Asocijacija s autohtonim vrstama roda Sargassum 
G.4.3.1.3.;G.4.3.1.3. Asocijacija s vrstom Mesophyllum lichenoides ;Asocijacija s vrstom Mesophyllum lichenoides 
G.4.3.1.4.;G.4.3.1.4. Asocijacija s vrstama Lithophyllum frondosum i Halimeda tuna;Asocijacija s vrstama Lithophyllum frondosum i Halimeda tuna
G.4.3.1.5.;G.4.3.1.5. Facijes s vrstom Eunicella cavolinii ;Facijes s vrstom Eunicella cavolinii 
G.4.3.1.6.;G.4.3.1.6. Facijes s vrstom Eunicella singularis ;Facijes s vrstom Eunicella singularis 
G.4.3.1.7.;G.4.3.1.7. Facijes s vrstom Lophogorgia sarmentosa ;Facijes s vrstom Lophogorgia sarmentosa 
G.4.3.1.8.;G.4.3.1.8. Facijes s vrstom Paramuricea clavata;Facijes s vrstom Paramuricea clavata
G.4.3.1.9.;G.4.3.1.9. Facijes s vrstom Parazoanthus axinellae ;Facijes s vrstom Parazoanthus axinellae 
G.4.3.1.10.;G.4.3.1.10. Koraligenske platforme;Koraligenske platforme
G.4.3.2.;G.4.3.2. Biocenoza polutamnih špilja (pojavljuje se i kao enklava u infralitoralu);Biocenoza polutamnih špilja (pojavljuje se i kao enklava u infralitoralu)
G.4.3.2.1.;G.4.3.2.1. Facijes s vrstom Parazoanthus axinellae ;Facijes s vrstom Parazoanthus axinellae 
G.4.3.2.2.;G.4.3.2.2. Facijes s vrstom Corallium rubrum;Facijes s vrstom Corallium rubrum
G.4.3.2.3.;G.4.3.2.3. Facijes s vrstom Leptopsammia pruvoti;Facijes s vrstom Leptopsammia pruvoti
G.4.3.3.;G.4.3.3. Biocenoza potpučinskih stijena (stijena na rubu kontinentske podine);Biocenoza potpučinskih stijena (stijena na rubu kontinentske podine)
G.4.3.3.1.;G.4.3.3.1. Biocenoza potpučinskih stijena (stijena na rubu kontinentske podine);Biocenoza potpučinskih stijena (stijena na rubu kontinentske podine)
G.4.3.4.;G.4.3.4. Biocenoza vrulja ponorskog tipa;Biocenoza vrulja ponorskog tipa
G.4.3.4.1.;G.4.3.4.1. Biocenoza vrulja ponorskog tipa;Biocenoza vrulja ponorskog tipa
G.4.4.;G.4.4. Cirkalitoral kraških morskih jezera;Cirkalitoral kraških morskih jezera
G.4.4.1.;G.4.4.1. Zajednice cirkalitorala kraških morskih jezera;Zajednice cirkalitorala kraških morskih jezera
G.4.4.1.1.;G.4.4.1.1. Zajednica cirkalitorala kraških morskih jezera;Zajednica cirkalitorala kraških morskih jezera
G.4.5.;G.4.5. Antropogena staništa u cirkalitoralu;Antropogena staništa u cirkalitoralu
G.4.5.1.;G.4.5.1. Antropogene cirkalitoralne zajednice na dnima unutar luka i brodogradilišta;Antropogene cirkalitoralne zajednice na dnima unutar luka i brodogradilišta
G.4.5.1.1.;G.4.5.1.1. Dna morskih luka;Dna morskih luka
G.4.5.1.2.;G.4.5.1.2. Dna brodogradilišta;Dna brodogradilišta
G.4.5.2.;G.4.5.2. Podmorska arheološka nalazišta;Podmorska arheološka nalazišta
G.4.5.2.1.;G.4.5.2.1. Podmorska arheološka nalazišta;Podmorska arheološka nalazišta
G.4.5.3.;G.4.5.3. Kočarska dna;Kočarska dna
G.4.5.3.1.;G.4.5.3.1. Muljevita kočarska dna;Muljevita kočarska dna
G.4.5.3.2.;G.4.5.3.2. Detritusna (pjeskovita) kočarska dna;Detritusna (pjeskovita) kočarska dna
G.4.5.4.;G.4.5.4. Cirkalitoralne zajednice ispod marikulturnih zahvata;Cirkalitoralne zajednice ispod marikulturnih zahvata
G.4.5.4.1.;G.4.5.4.1. Uzgajališta riba;Uzgajališta riba
G.4.5.5.;G.4.5.5. Cirkalitoralne zajednice oko podmorskih ispusta otpadne vode;Cirkalitoralne zajednice oko podmorskih ispusta otpadne vode
G.4.5.5.1.;G.4.5.5.1. Cirkalitoralne zajednice oko podmorskih ispusta otpadne vode;Cirkalitoralne zajednice oko podmorskih ispusta otpadne vode
G.4.5.6.;G.4.5.6. Cirkalitoralne zajednice s invazivnim vrstama;Cirkalitoralne zajednice s invazivnim vrstama
G.4.5.6.1.;G.4.5.6.1. Zajednica s vrstom Caulerpa taxifolia;Zajednica s vrstom Caulerpa taxifolia
G.4.5.6.2.;G.4.5.6.2. Zajednica s vrstom Caulerpa racemosa;Zajednica s vrstom Caulerpa racemosa
G.5.;G.5. Batijal;Batijal
G.5.1.;G.5.1. Batijalni muljevi;Batijalni muljevi
G.5.1.1.;G.5.1.1. Biocenoza batijalnih muljeva;Biocenoza batijalnih muljeva
G.5.1.1.1.;G.5.1.1.1. Facijes pjeskovitih muljeva s vrstom Thenea muricata ;Facijes pjeskovitih muljeva s vrstom Thenea muricata 
G.5.1.1.2.;G.5.1.1.2. Facijes tekućih muljeva s vrstom Brissopsis lyrifera ;Facijes tekućih muljeva s vrstom Brissopsis lyrifera 
G.5.1.1.3.;G.5.1.1.3. Facijes mekanih muljeva s vrstama Funiculina quadrangularis i Apporhais seressianus ;Facijes mekanih muljeva s vrstama Funiculina quadrangularis i Apporhais seressianus 
G.5.1.1.4.;G.5.1.1.4. Facijes tvrdih muljeva s vrstom Isidella elongata ;Facijes tvrdih muljeva s vrstom Isidella elongata 
G.5.1.1.5.;G.5.1.1.5. Facijes s vrstom Pheronema grayi ;Facijes s vrstom Pheronema grayi 
G.5.2.;G.5.2. Batijalni pijesci;Batijalni pijesci
G.5.2.1.;G.5.2.1. Biocenoza batijalnih detritusnih pijesaka s vrstom Grypheus vitreus ;Biocenoza batijalnih detritusnih pijesaka s vrstom Grypheus vitreus 
G.5.2.1.1.;G.5.2.1.1. Biocenoza batijalnih detritusnih pijesaka s vrstom Grypheus vitreus ;Biocenoza batijalnih detritusnih pijesaka s vrstom Grypheus vitreus 
G.5.3.;G.5.3. Batijalno čvrsto dno i stijene;Batijalno čvrsto dno i stijene
G.5.3.1.;G.5.3.1. Biocenoza dubinskih koralja;Biocenoza dubinskih koralja
G.5.3.1.1.;G.5.3.1.1. Biocenoza dubinskih koralja;Biocenoza dubinskih koralja
G.5.3.2.;G.5.3.2. Biocenoza špilja i prolaza u potpunoj tami (javlja se i kao enklava u plićim stepenicama);Biocenoza špilja i prolaza u potpunoj tami (javlja se i kao enklava u plićim stepenicama)
G.5.3.2.1.;G.5.3.2.1. Biocenoza špilja i prolaza u potpunoj tami (javlja se i kao enklava u plićim stepenicama);Biocenoza špilja i prolaza u potpunoj tami (javlja se i kao enklava u plićim stepenicama)
H.;H. Podzemlje;Podzemlje
H.1.;H.1. Kraške špilje i jame;Kraške špilje i jame
H.1.1.;H.1.1. Kopnena kraška špiljska staništa;Kopnena kraška špiljska staništa
H.1.1.1.;H.1.1.1. Polušpilje i ulazni (osvijetljeni) dijelovi špilja;Polušpilje i ulazni (osvijetljeni) dijelovi špilja
H.1.1.1.1.;H.1.1.1.1. Špilje sa subtroglofilnim beskralješnjacima;Špilje sa subtroglofilnim beskralješnjacima
H.1.1.2.;H.1.1.2. Suhe fosilne špilje;Suhe fosilne špilje
H.1.1.2.1.;H.1.1.2.1. Suhe fosilne špilje;Suhe fosilne špilje
H.1.1.3.;H.1.1.3. Špilje i špiljski sustavi sa subtroglofilnim kralješnjacima;Špilje i špiljski sustavi sa subtroglofilnim kralješnjacima
H.1.1.3.1.;H.1.1.3.1. Kontinentalne špilje sa subtroglofilnim kralješnjacima;Kontinentalne špilje sa subtroglofilnim kralješnjacima
H.1.1.3.2.;H.1.1.3.2. Otočne špilje sa subtroglofilnim kralješnjacima;Otočne špilje sa subtroglofilnim kralješnjacima
H.1.1.4.;H.1.1.4. Špilje i špiljski sustavi s troglobiontskim beskralješnjacima;Špilje i špiljski sustavi s troglobiontskim beskralješnjacima
H.1.1.4.1.;H.1.1.4.1. Špilje umjerenih uvjeta s troglobiontskim beskralješnjacima;Špilje umjerenih uvjeta s troglobiontskim beskralješnjacima
H.1.1.4.2.;H.1.1.4.2. Ledene špilje s troglobiontima;Ledene špilje s troglobiontima
H.1.1.5.;H.1.1.5. Špilje s troglofilnim beskralješnjacima;Špilje s troglofilnim beskralješnjacima
H.1.1.5.1.;H.1.1.5.1. Špilje s troglofilnim beskralješnjacima;Špilje s troglofilnim beskralješnjacima
H.1.1.6.;H.1.1.6. Atroglozoocenotičke špilje;Atroglozoocenotičke špilje
H.1.1.6.1.;H.1.1.6.1. Atroglozoocenotičke špilje;Atroglozoocenotičke špilje
H.1.2.;H.1.2. Amfibijska kraška špiljska staništa;Amfibijska kraška špiljska staništa
H.1.2.1.;H.1.2.1. Amfibijska kraška špiljska staništa;Amfibijska kraška špiljska staništa
H.1.2.1.1.;H.1.2.1.1. Higropetrik;Higropetrik
H.1.2.1.2.;H.1.2.1.2. Marifugijske naslage;Marifugijske naslage
H.1.3.;H.1.3. Vodena (slatkodovna) kraška špiljska staništa;Vodena (slatkodovna) kraška špiljska staništa
H.1.3.1.;H.1.3.1. Podzemne tekućice;Podzemne tekućice
H.1.3.1.1.;H.1.3.1.1. Podzemni brzaci;Podzemni brzaci
H.1.3.1.2.;H.1.3.1.2. Endogene podzemne rijeke;Endogene podzemne rijeke
H.1.3.1.3.;H.1.3.1.3. Egzogene podzemne rijeke;Egzogene podzemne rijeke
H.1.3.2.;H.1.3.2. Podzemne stajaćice;Podzemne stajaćice
H.1.3.2.1.;H.1.3.2.1. Podzemna jezera;Podzemna jezera
H.1.3.2.2.;H.1.3.2.2. Kamenice;Kamenice
H.1.3.2.3.;H.1.3.2.3. Lokve;Lokve
H.1.4.;H.1.4. Anhihaline kraške špilje;Anhihaline kraške špilje
H.1.4.1.;H.1.4.1. Anhihaline kraške špilje;Anhihaline kraške špilje
H.1.4.1.1.;H.1.4.1.1. Anhihaline kraške špilje;Anhihaline kraške špilje
H.1.5.;H.1.5. Zasumporene kraške špilje;Zasumporene kraške špilje
H.1.5.1.;H.1.5.1. Hidrotermalne zasumporene špilje;Hidrotermalne zasumporene špilje
H.1.5.1.1.;H.1.5.1.1. Hidrotermalne zasumporene špilje;Hidrotermalne zasumporene špilje
H.2.;H.2. Nekraške špilje i jame;Nekraške špilje i jame
H.2.1.;H.2.1. Nekraške špilje i jame;Nekraške špilje i jame
H.2.1.1.;H.2.1.1. Špilje i jame u flišu;Špilje i jame u flišu
H.2.1.1.1.;H.2.1.1.1. Špilje i jame u flišu;Špilje i jame u flišu
H.2.1.2.;H.2.1.2. Špilje i jame u laporu;Špilje i jame u laporu
H.2.1.2.1.;H.2.1.2.1. Špilje i jame u laporu;Špilje i jame u laporu
H.3.;H.3. Intersticijska podzemna staništa;Intersticijska podzemna staništa
H.3.1.;H.3.1. Intersticijska kopnena staništa;Intersticijska kopnena staništa
H.3.1.1.;H.3.1.1. Intersticijska kopnena staništa;Intersticijska kopnena staništa
H.3.1.1.1.;H.3.1.1.1. Površinsko kopneno intersticijsko stanište (MSS – milieu souterrain superficiel);Površinsko kopneno intersticijsko stanište (MSS – milieu souterrain superficiel)
H.3.1.1.2.;H.3.1.1.2. Pukotine stijena;Pukotine stijena
H.3.2.;H.3.2. Intersticijska vodena staništa;Intersticijska vodena staništa
H.3.2.1.;H.3.2.1. Intersticijska vodena staništa;Intersticijska vodena staništa
H.3.2.1.1.;H.3.2.1.1. Freatička zona;Freatička zona
H.3.2.1.2.;H.3.2.1.2. Hiporeička zona;Hiporeička zona
H.3.2.1.3.;H.3.2.1.3. Hipotelminoreička zona;Hipotelminoreička zona
H.3.2.1.4.;H.3.2.1.4. Psamolitoral;Psamolitoral
H.4.;H.4. Antropogena podzemna staništa;Antropogena podzemna staništa
H.4.1.;H.4.1. Antropogena kopnena podzemna staništa;Antropogena kopnena podzemna staništa
