Šifra NKS;Puno ime NKS;Naziv NKS
J.4.2.1.12.;J.4.2.1.12. Odlagališta nereciklažnog poljoprivrednog otpada životinjskog podrijetla;Odlagališta nereciklažnog poljoprivrednog otpada životinjskog podrijetla
J.4.2.2.;J.4.2.2. Neuređena (divlja) odlagališta krutog otpada;Neuređena (divlja) odlagališta krutog otpada
J.4.2.2.1.;J.4.2.2.1. Neuređena (divlja) odlagališta komunalnog otpada;Neuređena (divlja) odlagališta komunalnog otpada
J.4.2.2.2.;J.4.2.2.2. Ostala neuređena (divlja) odlagališta krutog otpada;Ostala neuređena (divlja) odlagališta krutog otpada
J.4.2.3.;J.4.2.3. Odlagališta sirovina i međuproizvoda;Odlagališta sirovina i međuproizvoda
J.4.2.3.1.;J.4.2.3.1. Odlagališta pijeska;Odlagališta pijeska
J.4.2.3.2.;J.4.2.3.2. Odlagališta zemlje;Odlagališta zemlje
J.4.2.3.3.;J.4.2.3.3. Odlagališta šljunka;Odlagališta šljunka
J.4.2.3.4.;J.4.2.3.4. Odlagališta mineralnih sirovina;Odlagališta mineralnih sirovina
J.4.2.3.5.;J.4.2.3.5. Odlagališta trupaca i drvne građe;Odlagališta trupaca i drvne građe
J.4.2.3.6.;J.4.2.3.6. Odlagališta građevinskog materijala;Odlagališta građevinskog materijala
J.4.2.3.7.;J.4.2.3.7. Odlagališta metalnih sirovina;Odlagališta metalnih sirovina
